OrderID,OrderDate,City,ProductCategory,ProductName,Price,Quantity,PaymentMethod
33,2025-03-27,Ahmedabad,Electronics,Laptop,4843,5,Card
34,2025-03-02,Surat,Clothing,Jeans,35539,2,Cash
35,2025-03-26,Mumbai,Electronics,Mouse,26877,2,UPI
36,2025-01-07,Bangalore,Clothing,Jacket,27959,4,Cash
37,2025-02-01,Delhi,Home,Mixer,4172,4,UPI
38,2025-01-24,Ahmedabad,Electronics,Smartphone,35346,4,Card
39,2025-01-13,Bangalore,Clothing,Shirt,16571,1,Cash
40,2025-03-04,Ahmedabad,Electronics,Headphones,6312,2,Card
41,2025-01-01,Ahmedabad,Clothing,Jeans,26482,1,Card
42,2025-04-04,Bangalore,Clothing,Jacket,30019,3,Cash
43,2025-01-08,Delhi,Home,Lamp,10344,2,UPI
44,2025-03-16,Mumbai,Home,Mixer,49219,3,UPI
45,2025-01-09,Mumbai,Clothing,Jeans,3927,5,UPI
46,2025-05-01,Bangalore,Home,Mixer,44450,2,UPI
47,2025-01-11,Mumbai,Home,Chair,38140,5,Cash
48,2025-02-03,Delhi,Clothing,Jacket,17289,2,UPI
49,2025-04-29,Bangalore,Clothing,Jeans,44219,3,Card
50,2025-01-10,Surat,Electronics,Headphones,30234,5,UPI
51,2025-04-23,Ahmedabad,Home,Chair,33353,3,Card
52,2025-04-17,Ahmedabad,Electronics,Smartphone,24417,3,Card
53,2025-04-15,Mumbai,Home,Table,40286,5,Cash
54,2025-01-15,Ahmedabad,Home,Table,43675,1,Card
55,2025-04-02,Surat,Electronics,Smartphone,18048,3,UPI
56,2025-02-02,Surat,Clothing,Jeans,45255,3,Card
57,2025-01-01,Delhi,Electronics,Headphones,41768,4,UPI
58,2025-02-26,Ahmedabad,Clothing,Jeans,41953,3,Cash
59,2025-05-01,Mumbai,Home,Lamp,36959,1,UPI
60,2025-03-12,Delhi,Home,Chair,35955,1,Cash
61,2025-04-26,Delhi,Electronics,Mouse,8552,1,Card
62,2025-04-10,Mumbai,Electronics,Laptop,13967,2,Card
63,2025-04-13,Ahmedabad,Home,Lamp,40875,2,UPI
64,2025-04-13,Delhi,Electronics,Mouse,1824,2,Card
65,2025-04-22,Mumbai,Home,Chair,17685,2,Card
66,2025-02-09,Bangalore,Electronics,Mouse,14777,2,Card
67,2025-02-05,Bangalore,Electronics,Smartphone,1750,2,Card
68,2025-04-18,Bangalore,Electronics,Laptop,23212,5,Cash
69,2025-03-16,Delhi,Home,Table,2008,1,UPI
70,2025-04-04,Bangalore,Clothing,T-Shirt,7304,5,Card
71,2025-04-26,Mumbai,Clothing,Shirt,39928,5,Card
72,2025-03-08,Bangalore,Home,Chair,16893,1,UPI
73,2025-04-28,Mumbai,Home,Chair,24069,4,Cash
74,2025-02-09,Delhi,Clothing,Jacket,43675,1,Cash
75,2025-01-17,Delhi,Home,Lamp,21576,4,Cash
76,2025-03-14,Ahmedabad,Electronics,Mouse,43776,4,Cash
77,2025-01-27,Delhi,Clothing,Shirt,36109,1,Card
78,2025-01-28,Bangalore,Clothing,Jacket,30673,4,Cash
79,2025-03-07,Mumbai,Home,Lamp,48431,2,Card
80,2025-04-14,Delhi,Home,Table,6320,2,UPI
81,2025-03-20,Ahmedabad,Electronics,Smartphone,1800,1,Card
82,2025-03-31,Ahmedabad,Electronics,Mouse,27360,5,Cash
83,2025-03-30,Ahmedabad,Clothing,Shirt,26391,2,Cash
84,2025-03-08,Ahmedabad,Electronics,Headphones,28062,2,Cash
85,2025-01-18,Mumbai,Clothing,T-Shirt,36730,2,Card
86,2025-04-25,Surat,Clothing,Jacket,49696,4,Cash
87,2025-04-21,Ahmedabad,Home,Lamp,36105,4,Cash
88,2025-03-04,Delhi,Clothing,Shirt,17186,2,Cash
89,2025-02-06,Mumbai,Home,Chair,18196,4,Cash
90,2025-01-18,Surat,Electronics,Laptop,22210,3,UPI
91,2025-02-23,Ahmedabad,Electronics,Smartphone,25302,2,UPI
92,2025-01-27,Bangalore,Clothing,Jacket,35760,4,UPI
93,2025-03-03,Surat,Clothing,Shirt,38478,1,Card
94,2025-04-06,Bangalore,Electronics,Laptop,19769,4,Cash
95,2025-03-04,Delhi,Home,Chair,32196,2,Card
96,2025-04-28,Ahmedabad,Electronics,Mouse,22228,4,Card
97,2025-01-04,Surat,Electronics,Headphones,26022,5,Cash
98,2025-02-03,Ahmedabad,Electronics,Mouse,9093,4,UPI
99,2025-04-08,Delhi,Clothing,Jacket,14071,4,Card
100,2025-03-02,Delhi,Clothing,Jacket,49483,4,UPI
